imageid,tagid
257,63
261,39
262,39
263,39
264,39
265,39
266,39
266,58
267,39
268,39
269,39
270,62
271,62
272,62
273,62
274,62
275,62
276,62
277,62
278,62
282,61
283,61
284,61
285,61
286,61
287,61
288,61
289,61
291,12
291,22
291,59
292,12
292,22
292,59
293,12
293,22
293,59
294,12
294,22
294,59
295,12
295,22
295,59
296,12
296,22
296,59
303,61
304,61
305,61
306,61
307,61
308,61
309,12
309,22
309,69
310,12
310,22
310,69
311,12
311,22
311,69
312,12
312,22
312,69
313,12
313,22
313,69
314,12
314,22
314,69
315,12
315,22
315,69
316,12
316,22
316,69
317,12
317,22
317,69
318,12
318,22
318,58
318,69
319,12
319,22
319,69
320,12
320,22
320,58
320,69
321,12
321,22
321,69
322,12
322,22
322,69
323,12
323,22
323,69
324,12
324,22
324,69
325,12
325,22
325,69
326,12
326,22
326,69
339,62
340,62
341,62
342,62
343,58
343,62
344,62
345,35
346,35
347,35
348,35
349,35
350,35
351,35
352,35
353,35
354,35
355,35
356,35
357,35
358,35
359,35
360,35
361,35
362,35
363,30
363,50
364,30
364,50
365,30
365,50
366,30
366,50
367,30
367,50
368,30
368,50
369,30
369,50
370,30
370,50
371,30
371,50
372,30
372,50
373,30
373,50
374,30
374,50
375,30
375,50
376,30
376,50
377,30
377,50
378,30
378,50
379,30
379,50
380,30
380,50
381,30
381,50
382,30
382,50
383,30
383,50
384,30
384,50
385,30
385,50
386,30
386,50
387,30
387,50
388,30
388,50
389,30
389,50
390,30
390,50
391,30
391,50
392,30
392,50
393,30
393,50
394,30
394,50
395,30
395,50
396,30
396,50
397,30
397,50
398,30
398,50
399,30
399,50
400,30
400,50
401,30
401,50
402,30
402,50
403,30
403,50
404,30
404,50
405,30
405,50
406,30
406,50
407,30
407,50
408,30
408,50
409,30
409,50
410,30
410,50
411,30
411,50
412,30
412,50
413,30
413,50
414,30
414,50
415,30
415,50
416,30
416,50
417,30
417,50
418,30
418,50
419,30
419,50
420,12
420,22
420,41
421,12
421,22
421,41
422,12
422,22
422,41
423,12
423,22
423,41
424,12
424,22
424,41
425,12
425,22
425,41
426,12
426,22
426,41
427,12
427,22
427,41
427,58
428,12
428,22
428,41
429,12
429,22
429,41
430,12
430,22
430,41
431,12
431,22
431,41
432,12
432,22
432,41
433,12
433,22
433,41
434,12
434,22
434,41
435,12
435,22
435,41
436,12
436,22
436,41
437,12
437,22
437,41
437,58
439,30
439,50
440,30
440,50
441,30
441,50
442,30
442,50
443,30
443,50
444,41
445,41
446,41
447,41
448,41
449,41
450,41
451,41
452,41
3263,30
3263,49
3268,49
3268,50
3269,49
3269,50
3270,49
3271,49
3280,30
3280,49
3281,30
3281,49
3282,30
3282,49
3283,30
3283,49
3284,30
3284,49
3285,30
3285,49
3286,30
3286,49
3287,30
3287,49
3288,30
3288,49
3289,30
3289,49
3290,30
3290,49
3291,30
3291,49
3292,30
3292,49
3293,30
3293,49
3294,30
3294,49
3295,30
3295,49
3303,30
3303,49
3304,30
3304,49
3305,30
3305,49
3306,30
3306,49
3307,30
3307,49
3308,30
3308,49
3309,30
3309,49
3310,30
3310,49
3311,30
3311,49
3312,30
3312,49
3313,30
3313,49
3314,30
3314,49
3315,30
3315,49
3316,30
3316,49
3317,30
3317,49
3318,30
3318,49
3319,30
3319,49
3320,30
3320,49
